"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_403000","Fournisseurs d'exploitation - effets a payer","403000","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_404100","Fournisseurs - achats d'immobilisations","404100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_404700","Fournisseurs d'immobilisations - retenues de garantie","404700","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_404800","Fournisseurs d'immobilisations - effets a payer","404800","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_408100","Fournisseurs d'exploitation","408100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_408400","Fournisseurs d'immobilisations","408400","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_408800","Fournisseurs – intérêts courus","408800","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409100","Fournisseurs - avances et acomptes verses sur commandes","409100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409600","Fournisseurs - créances pour emballages et matériel a rendre","409600","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409700","Fournisseurs - autres avoirs","409700","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409710","Fournisseurs d'exploitation","409710","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409740","Fournisseurs d'immobilisations","409740","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_409800","Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus","409800","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_411100","Clients - ventes de biens ou de prestations de services","411100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_411700","Clients - retenues de garantie","411700","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_413000","Clients - effets a recevoir","413000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_416000","Clients douteux ou litigieux","416000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_417000","Créances sur travaux non encore facturables","417000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_418000","Clients - produits non encore factures (produits a recevoir)","418000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_418100","Factures a établir","418100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_418800","Intérêts courus","418800","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_419000","Clients créditeurs","419000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_419100","Clients - avances et acomptes reçus sur commandes","419100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_419600","Clients - dettes pour emballages et matériel consignes","419600","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_419700","Clients - autres avoirs","419700","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_419800","Rabais, remises, ristournes à accorder et autres avoirs à établir","419800","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_421000","Personnel - avances et acomptes","421000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template","False"
